[2018-12-20 12:00:29] - [http-nio-0.0.0.0-8080-exec-5] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 12:00:29] - [http-nio-0.0.0.0-8080-exec-5] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-5,线程id: 67,线程状态: RUNNABLE
[2018-12-20 12:00:51] - [http-nio-0.0.0.0-8080-exec-6] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 12:00:51] - [http-nio-0.0.0.0-8080-exec-6] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-6,线程id: 68,线程状态: RUNNABLE
[2018-12-20 12:04:02] - [http-nio-0.0.0.0-8080-exec-7] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 12:04:02] - [http-nio-0.0.0.0-8080-exec-7] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-7,线程id: 69,线程状态: RUNNABLE
[2018-12-20 12:04:31] - [http-nio-0.0.0.0-8080-exec-8] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 12:04:31] - [http-nio-0.0.0.0-8080-exec-8] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-8,线程id: 70,线程状态: RUNNABLE
[2018-12-20 12:05:21] - [http-nio-0.0.0.0-8080-exec-9] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 12:05:21] - [http-nio-0.0.0.0-8080-exec-9] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-9,线程id: 71,线程状态: RUNNABLE
[2018-12-20 12:05:46] - [http-nio-0.0.0.0-8080-exec-10] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 12:05:46] - [http-nio-0.0.0.0-8080-exec-10] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-10,线程id: 72,线程状态: RUNNABLE
[2018-12-20 12:06:00] - [http-nio-0.0.0.0-8080-exec-1] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 12:06:00] - [http-nio-0.0.0.0-8080-exec-1] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-1,线程id: 63,线程状态: RUNNABLE
[2018-12-20 12:06:13] - [http-nio-0.0.0.0-8080-exec-4] - com.apitest.service.LoginService.loginService(LoginService.java:38) - 用户名: admin
[2018-12-20 12:06:13] - [http-nio-0.0.0.0-8080-exec-4] - com.apitest.service.LoginService.loginService(LoginService.java:39) - 密码: 123456
[2018-12-20 12:06:14] - [http-nio-0.0.0.0-8080-exec-4] - com.apitest.service.LoginService.loginService(LoginService.java:61) - 返回结果: ServerResponse(status=1, message=登录成功, data=null)
