[2018-12-20 14:01:19] - [http-nio-0.0.0.0-8080-exec-4] - com.apitest.service.CaseService.queryCaseByApiIdService(CaseService.java:58) - 返回结果: ServerResponse(status=1, message=查询用例成功, data=Page 1 of 2 containing com.apitest.entity.Cases instances)
[2018-12-20 14:01:19] - [http-nio-0.0.0.0-8080-exec-4] - com.apitest.service.CaseService.queryCaseByApiIdService(CaseService.java:59) - 线程名: http-nio-0.0.0.0-8080-exec-4,线程id: 66,线程状态: RUNNABLE
[2018-12-20 14:01:28] - [http-nio-0.0.0.0-8080-exec-5] - com.apitest.service.CaseService.queryCaseByApiIdService(CaseService.java:58) - 返回结果: ServerResponse(status=1, message=查询用例成功, data=Page 1 of 2 containing com.apitest.entity.Cases instances)
[2018-12-20 14:01:28] - [http-nio-0.0.0.0-8080-exec-5] - com.apitest.service.CaseService.queryCaseByApiIdService(CaseService.java:59) - 线程名: http-nio-0.0.0.0-8080-exec-5,线程id: 67,线程状态: RUNNABLE
[2018-12-20 14:01:43] - [http-nio-0.0.0.0-8080-exec-6] - com.apitest.service.CaseService.queryCaseByApiIdService(CaseService.java:58) - 返回结果: ServerResponse(status=1, message=查询用例成功, data=Page 1 of 2 containing com.apitest.entity.Cases instances)
[2018-12-20 14:01:43] - [http-nio-0.0.0.0-8080-exec-6] - com.apitest.service.CaseService.queryCaseByApiIdService(CaseService.java:59) - 线程名: http-nio-0.0.0.0-8080-exec-6,线程id: 68,线程状态: RUNNABLE
[2018-12-20 14:03:12] - [http-nio-0.0.0.0-8080-exec-7] - com.apitest.service.CaseService.queryCaseByApiIdService(CaseService.java:58) - 返回结果: ServerResponse(status=1, message=查询用例成功, data=Page 1 of 2 containing com.apitest.entity.Cases instances)
[2018-12-20 14:03:12] - [http-nio-0.0.0.0-8080-exec-7] - com.apitest.service.CaseService.queryCaseByApiIdService(CaseService.java:59) - 线程名: http-nio-0.0.0.0-8080-exec-7,线程id: 69,线程状态: RUNNABLE
[2018-12-20 14:03:14] - [http-nio-0.0.0.0-8080-exec-8] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 14:03:14] - [http-nio-0.0.0.0-8080-exec-8] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-8,线程id: 70,线程状态: RUNNABLE
[2018-12-20 14:03:42] - [http-nio-0.0.0.0-8080-exec-9] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 14:03:42] - [http-nio-0.0.0.0-8080-exec-9] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-9,线程id: 71,线程状态: RUNNABLE
[2018-12-20 14:05:07] - [http-nio-0.0.0.0-8080-exec-1] - com.apitest.service.LoginService.loginService(LoginService.java:38) - 用户名: admin
[2018-12-20 14:05:07] - [http-nio-0.0.0.0-8080-exec-1] - com.apitest.service.LoginService.loginService(LoginService.java:39) - 密码: 123456
[2018-12-20 14:05:07] - [http-nio-0.0.0.0-8080-exec-1] - com.apitest.service.LoginService.loginService(LoginService.java:61) - 返回结果: ServerResponse(status=1, message=登录成功, data=null)
[2018-12-20 14:05:07] - [http-nio-0.0.0.0-8080-exec-1] - com.apitest.service.LoginService.loginService(LoginService.java:62) - 线程名: http-nio-0.0.0.0-8080-exec-1,线程id: 63,线程状态: RUNNABLE
[2018-12-20 14:05:09] - [http-nio-0.0.0.0-8080-exec-2] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 14:05:09] - [http-nio-0.0.0.0-8080-exec-2] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-2,线程id: 64,线程状态: RUNNABLE
[2018-12-20 14:09:00] - [http-nio-0.0.0.0-8080-exec-3] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 14:09:00] - [http-nio-0.0.0.0-8080-exec-3] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-3,线程id: 65,线程状态: RUNNABLE
[2018-12-20 14:09:49] - [http-nio-0.0.0.0-8080-exec-4] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 14:09:49] - [http-nio-0.0.0.0-8080-exec-4] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-4,线程id: 66,线程状态: RUNNABLE
[2018-12-20 14:09:56] - [http-nio-0.0.0.0-8080-exec-5] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:90) - 返回结果: ServerResponse(status=1, message=查询接口成功, data=Page 1 of 5 containing com.apitest.entity.Apis instances)
[2018-12-20 14:09:56] - [http-nio-0.0.0.0-8080-exec-5] - com.apitest.service.ApiService.queryPageApiService(ApiService.java:91) - 线程名: http-nio-0.0.0.0-8080-exec-5,线程id: 67,线程状态: RUNNABLE
