[2019-01-22 19:31:02] - [lettuce-eventExecutorLoop-1-4] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was /192.168.3.132:6379
[2019-01-22 19:31:12] - [lettuce-eventExecutorLoop-1-2] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:31:23] - [lettuce-eventExecutorLoop-1-3] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:31:33] - [lettuce-eventExecutorLoop-1-4] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:31:43] - [lettuce-eventExecutorLoop-1-1] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:31:53] - [lettuce-eventExecutorLoop-1-2] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:32:03] - [lettuce-eventExecutorLoop-1-4] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:32:13] - [lettuce-eventExecutorLoop-1-1] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:32:23] - [lettuce-eventExecutorLoop-1-2] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:32:34] - [lettuce-eventExecutorLoop-1-3] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:32:45] - [lettuce-eventExecutorLoop-1-4] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
